run,start_utc,resumed_utc,latency_ms,status,error
1,2026-09-26T04:30:02.3316815Z,2026-09-26T04:30:03.0827236Z,751,pass,
2,2026-09-26T04:30:03.0987134Z,2026-09-26T04:30:03.5975041Z,499,pass,
3,2026-09-26T04:30:03.5985557Z,2026-09-26T04:30:04.3005592Z,702,pass,
4,2026-09-26T04:30:04.3025071Z,2026-09-26T04:30:04.7802424Z,478,pass,
5,2026-09-26T04:30:04.7812097Z,2026-09-26T04:30:05.4738143Z,693,pass,
6,2026-09-26T04:30:05.4758134Z,2026-09-26T04:30:05.9865385Z,511,pass,
7,2026-09-26T04:30:05.9875269Z,2026-09-26T04:30:06.6921738Z,705,pass,
8,2026-09-26T04:30:06.6932892Z,2026-09-26T04:30:07.3276628Z,634,pass,
9,2026-09-26T04:30:07.3296561Z,2026-09-26T04:30:07.8270979Z,497,pass,
10,2026-09-26T04:30:07.8291367Z,2026-09-26T04:30:08.4715126Z,642,pass,
11,2026-09-26T04:30:08.4725101Z,2026-09-26T04:30:08.9273581Z,455,pass,
12,2026-09-26T04:30:08.9294112Z,2026-09-26T04:30:09.5841882Z,655,pass,
13,2026-09-26T04:30:09.5862662Z,2026-09-26T04:30:10.0770555Z,491,pass,
14,2026-09-26T04:30:10.0790738Z,2026-09-26T04:30:10.5769365Z,498,pass,
15,2026-09-26T04:30:10.5795449Z,2026-09-26T04:30:11.2187944Z,639,pass,
16,2026-09-26T04:30:11.2208148Z,2026-09-26T04:30:11.8058578Z,585,pass,
17,2026-09-26T04:30:11.8078336Z,2026-09-26T04:30:12.4759857Z,668,pass,
18,2026-09-26T04:30:12.4770367Z,2026-09-26T04:30:13.0823718Z,605,pass,
19,2026-09-26T04:30:13.0834420Z,2026-09-26T04:30:13.6114999Z,528,pass,
20,2026-09-26T04:30:13.6134502Z,2026-09-26T04:30:14.1847165Z,571,pass,
21,2026-09-26T04:30:14.1857288Z,2026-09-26T04:30:14.6943851Z,509,pass,
22,2026-09-26T04:30:14.6958966Z,2026-09-26T04:30:15.2941683Z,598,pass,
23,2026-09-26T04:30:15.2951616Z,2026-09-26T04:30:15.8672988Z,572,pass,
24,2026-09-26T04:30:15.8693023Z,2026-09-26T04:30:16.5440200Z,675,pass,
25,2026-09-26T04:30:16.5450135Z,2026-09-26T04:30:17.1218206Z,577,pass,
26,2026-09-26T04:30:17.1232708Z,2026-09-26T04:30:17.9218736Z,799,pass,
27,2026-09-26T04:30:17.9244015Z,2026-09-26T04:30:18.5721927Z,648,pass,
28,2026-09-26T04:30:18.5741929Z,2026-09-26T04:30:19.3728619Z,799,pass,
29,2026-09-26T04:30:19.3746943Z,2026-09-26T04:30:19.9315007Z,557,pass,
30,2026-09-26T04:30:19.9330547Z,2026-09-26T04:30:20.4851582Z,552,pass,
31,2026-09-26T04:30:20.4871650Z,2026-09-26T04:30:21.0899352Z,603,pass,
32,2026-09-26T04:30:21.0909496Z,2026-09-26T04:30:21.6205874Z,530,pass,
33,2026-09-26T04:30:21.6215860Z,2026-09-26T04:30:22.1892954Z,568,pass,
34,2026-09-26T04:30:22.1902800Z,2026-09-26T04:30:22.7808255Z,591,pass,
35,2026-09-26T04:30:22.7823393Z,2026-09-26T04:30:23.3718448Z,590,pass,
36,2026-09-26T04:30:23.3730113Z,2026-09-26T04:30:23.9546662Z,582,pass,
37,2026-09-26T04:30:23.9556659Z,2026-09-26T04:30:24.5636590Z,608,pass,
38,2026-09-26T04:30:24.5646439Z,2026-09-26T04:30:25.0972551Z,533,pass,
39,2026-09-26T04:30:25.0982441Z,2026-09-26T04:30:25.7614974Z,663,pass,
40,2026-09-26T04:30:25.7634952Z,2026-09-26T04:30:26.2723518Z,509,pass,
41,2026-09-26T04:30:26.2733506Z,2026-09-26T04:30:26.8541413Z,581,pass,
42,2026-09-26T04:30:26.8551271Z,2026-09-26T04:30:27.4255315Z,570,pass,
43,2026-09-26T04:30:27.4265012Z,2026-09-26T04:30:28.0015921Z,575,pass,
44,2026-09-26T04:30:28.0028344Z,2026-09-26T04:30:28.6182928Z,615,pass,
45,2026-09-26T04:30:28.6193341Z,2026-09-26T04:30:29.1764922Z,557,pass,
46,2026-09-26T04:30:29.1785007Z,2026-09-26T04:30:29.8505342Z,672,pass,
47,2026-09-26T04:30:29.8520923Z,2026-09-26T04:30:30.4218740Z,570,pass,
48,2026-09-26T04:30:30.4238132Z,2026-09-26T04:30:31.0254835Z,602,pass,
49,2026-09-26T04:30:31.0267250Z,2026-09-26T04:30:31.6888204Z,662,pass,
50,2026-09-26T04:30:31.6908295Z,2026-09-26T04:30:32.2054027Z,515,pass,
